Year,Week,Region,New Cases
2013,45,Saudi Arabia,2
2013,46,Other Countries,0
2013,46,Republic of Korea,0
2013,46,Saudi Arabia,2
2013,47,Other Countries,2
2013,47,Republic of Korea,0
2013,47,Saudi Arabia,2
2013,48,Other Countries,0
2013,48,Republic of Korea,0
2013,48,Saudi Arabia,2
2013,49,Other Countries,1
2013,49,Republic of Korea,0
2013,49,Saudi Arabia,0
2013,50,Other Countries,1
2013,50,Republic of Korea,0
2013,50,Saudi Arabia,6
2013,51,Other Countries,2
2013,51,Republic of Korea,0
2013,51,Saudi Arabia,5
2014,1,Other Countries,0
2014,1,Republic of Korea,0
2014,1,Saudi Arabia,0
2014,2,Other Countries,0
2014,2,Republic of Korea,0
2014,2,Saudi Arabia,0
2014,3,Other Countries,1
2014,3,Republic of Korea,0
2014,3,Saudi Arabia,2
2014,4,Other Countries,0
2014,4,Republic of Korea,0
2014,4,Saudi Arabia,1
2014,5,Other Countries,0
2014,5,Republic of Korea,0
2014,5,Saudi Arabia,3
2014,6,Other Countries,0
2014,6,Republic of Korea,0
2014,6,Saudi Arabia,1
2014,7,Other Countries,0
2014,7,Republic of Korea,0
2014,7,Saudi Arabia,2
2014,8,Other Countries,3
2014,8,Republic of Korea,0
2014,8,Saudi Arabia,7
2014,9,Other Countries,1
2014,9,Republic of Korea,0
2014,9,Saudi Arabia,6
2014,10,Other Countries,0
2014,10,Republic of Korea,0
2014,10,Saudi Arabia,7
2014,11,Other Countries,3
2014,11,Republic of Korea,0
2014,11,Saudi Arabia,19
2014,12,Other Countries,2
2014,12,Republic of Korea,0
2014,12,Saudi Arabia,10
2014,13,Other Countries,12
2014,13,Republic of Korea,0
2014,13,Saudi Arabia,51
2014,14,Other Countries,7
2014,14,Republic of Korea,0
2014,14,Saudi Arabia,56
2014,15,Other Countries,12
2014,15,Republic of Korea,0
2014,15,Saudi Arabia,61
2014,16,Other Countries,20
2014,16,Republic of Korea,0
2014,16,Saudi Arabia,93
2014,17,Other Countries,7
2014,17,Republic of Korea,0
2014,17,Saudi Arabia,92
2014,18,Other Countries,5
2014,18,Republic of Korea,0
2014,18,Saudi Arabia,57
2014,19,Other Countries,0
2014,19,Republic of Korea,0
2014,19,Saudi Arabia,30
2014,20,Other Countries,4
2014,20,Republic of Korea,0
2014,20,Saudi Arabia,26
2014,21,Other Countries,1
2014,21,Republic of Korea,0
2014,21,Saudi Arabia,7
2014,22,Other Countries,1
2014,22,Republic of Korea,0
2014,22,Saudi Arabia,13
2014,23,Other Countries,0
2014,23,Republic of Korea,0
2014,23,Saudi Arabia,6
2014,24,Other Countries,1
2014,24,Republic of Korea,0
2014,24,Saudi Arabia,5
2014,25,Other Countries,1
2014,25,Republic of Korea,0
2014,25,Saudi Arabia,6
2014,26,Other Countries,1
2014,26,Republic of Korea,0
2014,26,Saudi Arabia,3
2014,27,Other Countries,0
2014,27,Republic of Korea,0
2014,27,Saudi Arabia,0
2014,28,Other Countries,0
2014,28,Republic of Korea,0
2014,28,Saudi Arabia,0
2014,29,Other Countries,0
2014,29,Republic of Korea,0
2014,29,Saudi Arabia,0
2014,30,Other Countries,0
2014,30,Republic of Korea,0
2014,30,Saudi Arabia,0
2014,31,Other Countries,0
2014,31,Republic of Korea,0
2014,31,Saudi Arabia,2
2014,32,Other Countries,0
2014,32,Republic of Korea,0
2014,32,Saudi Arabia,0
2014,33,Other Countries,0
2014,33,Republic of Korea,0
2014,33,Saudi Arabia,2
2014,34,Other Countries,0
2014,34,Republic of Korea,0
2014,34,Saudi Arabia,1
2014,35,Other Countries,0
2014,35,Republic of Korea,0
2014,35,Saudi Arabia,5
2014,36,Other Countries,0
2014,36,Republic of Korea,0
2014,36,Saudi Arabia,1
2014,37,Other Countries,1
2014,37,Republic of Korea,0
2014,37,Saudi Arabia,5
2014,38,Other Countries,1
2014,38,Republic of Korea,0
2014,38,Saudi Arabia,3
2014,39,Other Countries,1
2014,39,Republic of Korea,0
2014,39,Saudi Arabia,5
2014,40,Other Countries,0
2014,40,Republic of Korea,0
2014,40,Saudi Arabia,6
2014,41,Other Countries,1
2014,41,Republic of Korea,0
2014,41,Saudi Arabia,14
2014,42,Other Countries,0
2014,42,Republic of Korea,0
2014,42,Saudi Arabia,12
2014,43,Other Countries,0
2014,43,Republic of Korea,0
2014,43,Saudi Arabia,7
2014,44,Other Countries,0
2014,44,Republic of Korea,0
2014,44,Saudi Arabia,5
2014,45,Other Countries,0
2014,45,Republic of Korea,0
2014,45,Saudi Arabia,4
2014,46,Other Countries,0
2014,46,Republic of Korea,0
2014,46,Saudi Arabia,5
2014,47,Other Countries,0
2014,47,Republic of Korea,0
2014,47,Saudi Arabia,5
2014,48,Other Countries,0
2014,48,Republic of Korea,0
2014,48,Saudi Arabia,1
2014,49,Other Countries,0
2014,49,Republic of Korea,0
2014,49,Saudi Arabia,3
2014,50,Other Countries,1
2014,50,Republic of Korea,0
2014,50,Saudi Arabia,1
2014,51,Other Countries,1
2014,51,Republic of Korea,0
2014,51,Saudi Arabia,4
2014,52,Other Countries,1
2014,52,Republic of Korea,0
2014,52,Saudi Arabia,4
2015,1,Other Countries,1
2015,1,Republic of Korea,0
2015,1,Saudi Arabia,3
2015,2,Other Countries,1
2015,2,Republic of Korea,0
2015,2,Saudi Arabia,6
2015,3,Other Countries,0
2015,3,Republic of Korea,0
2015,3,Saudi Arabia,6
2015,4,Other Countries,2
2015,4,Republic of Korea,0
2015,4,Saudi Arabia,11
2015,5,Other Countries,0
2015,5,Republic of Korea,0
2015,5,Saudi Arabia,19
2015,6,Other Countries,1
2015,6,Republic of Korea,0
2015,6,Saudi Arabia,24
2015,7,Other Countries,0
2015,7,Republic of Korea,0
2015,7,Saudi Arabia,20
2015,8,Other Countries,1
2015,8,Republic of Korea,0
2015,8,Saudi Arabia,16
2015,9,Other Countries,0
2015,9,Republic of Korea,0
2015,9,Saudi Arabia,18
2015,10,Other Countries,0
2015,10,Republic of Korea,0
2015,10,Saudi Arabia,10
2015,11,Other Countries,1
2015,11,Republic of Korea,0
2015,11,Saudi Arabia,5
2015,12,Other Countries,0
2015,12,Republic of Korea,0
2015,12,Saudi Arabia,7
2015,13,Other Countries,0
2015,13,Republic of Korea,0
2015,13,Saudi Arabia,1
2015,14,Other Countries,0
2015,14,Republic of Korea,0
2015,14,Saudi Arabia,3
2015,15,Other Countries,0
2015,15,Republic of Korea,0
2015,15,Saudi Arabia,1
2015,16,Other Countries,0
2015,16,Republic of Korea,0
2015,16,Saudi Arabia,1
2015,17,Other Countries,0
2015,17,Republic of Korea,0
2015,17,Saudi Arabia,9
2015,18,Other Countries,0
2015,18,Republic of Korea,0
2015,18,Saudi Arabia,7
2015,19,Other Countries,4
2015,19,Republic of Korea,1
2015,19,Saudi Arabia,4
2015,20,Other Countries,3
2015,20,Republic of Korea,17
2015,20,Saudi Arabia,12
2015,21,Other Countries,0
2015,21,Republic of Korea,23
2015,21,Saudi Arabia,14
2015,22,Other Countries,1
2015,22,Republic of Korea,86
2015,22,Saudi Arabia,6
2015,23,Other Countries,1
2015,23,Republic of Korea,37
2015,23,Saudi Arabia,2
2015,24,Other Countries,2
2015,24,Republic of Korea,12
2015,24,Saudi Arabia,6
2015,25,Other Countries,0
2015,25,Republic of Korea,6
2015,25,Saudi Arabia,3
2015,26,Other Countries,1
2015,26,Republic of Korea,3
2015,26,Saudi Arabia,1
2015,27,Other Countries,0
2015,27,Republic of Korea,0
2015,27,Saudi Arabia,1
2015,28,Other Countries,0
2015,28,Republic of Korea,0
2015,28,Saudi Arabia,6
2015,29,Other Countries,0
2015,29,Republic of Korea,0
2015,29,Saudi Arabia,7
2015,30,Other Countries,1
2015,30,Republic of Korea,0
2015,30,Saudi Arabia,14
2015,31,Other Countries,0
2015,31,Republic of Korea,0
2015,31,Saudi Arabia,23
2015,32,Other Countries,1
2015,32,Republic of Korea,0
2015,32,Saudi Arabia,29
2015,33,Other Countries,1
2015,33,Republic of Korea,0
2015,33,Saudi Arabia,43
2015,34,Other Countries,5
2015,34,Republic of Korea,0
2015,34,Saudi Arabia,38
2015,35,Other Countries,1
2015,35,Republic of Korea,0
2015,35,Saudi Arabia,33
2015,36,Other Countries,1
2015,36,Republic of Korea,0
2015,36,Saudi Arabia,7
2015,37,Other Countries,4
2015,37,Republic of Korea,0
2015,37,Saudi Arabia,6
2015,38,Other Countries,2
2015,38,Republic of Korea,0
2015,38,Saudi Arabia,4
2015,39,Other Countries,2
2015,39,Republic of Korea,0
2015,39,Saudi Arabia,3
2015,40,Other Countries,0
2015,40,Republic of Korea,0
2015,40,Saudi Arabia,3
2015,41,Other Countries,0
2015,41,Republic of Korea,0
2015,41,Saudi Arabia,9
2015,42,Other Countries,0
2015,42,Republic of Korea,0
2015,42,Saudi Arabia,7
2015,43,Other Countries,0
2015,43,Republic of Korea,0
2015,43,Saudi Arabia,3
2015,44,Other Countries,0
2015,44,Republic of Korea,0
2015,44,Saudi Arabia,1
2015,45,Other Countries,0
2015,45,Republic of Korea,0
2015,45,Saudi Arabia,0
2015,46,Other Countries,0
2015,46,Republic of Korea,0
2015,46,Saudi Arabia,0
2015,47,Other Countries,0
2015,47,Republic of Korea,0
2015,47,Saudi Arabia,2
2015,48,Other Countries,0
2015,48,Republic of Korea,0
2015,48,Saudi Arabia,0
2015,49,Other Countries,0
2015,49,Republic of Korea,0
2015,49,Saudi Arabia,1
2015,50,Other Countries,0
2015,50,Republic of Korea,0
2015,50,Saudi Arabia,3
2015,51,Other Countries,1
2015,51,Republic of Korea,0
2015,51,Saudi Arabia,0
2015,52,Other Countries,1
2015,52,Republic of Korea,0
2015,52,Saudi Arabia,0
2016,1,Other Countries,0
2016,1,Republic of Korea,0
2016,1,Saudi Arabia,2
2016,2,Other Countries,2
2016,2,Republic of Korea,0
2016,2,Saudi Arabia,2
2016,3,Other Countries,0
2016,3,Republic of Korea,0
2016,3,Saudi Arabia,2
2016,4,Other Countries,0
2016,4,Republic of Korea,0
2016,4,Saudi Arabia,2
2016,5,Other Countries,0
2016,5,Republic of Korea,0
2016,5,Saudi Arabia,6
2016,6,Other Countries,0
2016,6,Republic of Korea,0
2016,6,Saudi Arabia,6
2016,7,Other Countries,0
2016,7,Republic of Korea,0
2016,7,Saudi Arabia,10
2016,8,Other Countries,1
2016,8,Republic of Korea,0
2016,8,Saudi Arabia,7
2016,9,Other Countries,0
2016,9,Republic of Korea,0
2016,9,Saudi Arabia,19
2016,10,Other Countries,0
2016,10,Republic of Korea,0
2016,10,Saudi Arabia,14
2016,11,Other Countries,0
2016,11,Republic of Korea,0
2016,11,Saudi Arabia,10
2016,12,Other Countries,0
2016,12,Republic of Korea,0
2016,12,Saudi Arabia,4
2016,13,Other Countries,0
2016,13,Republic of Korea,0
2016,13,Saudi Arabia,2
2016,14,Other Countries,1
2016,14,Republic of Korea,0
2016,14,Saudi Arabia,5
2016,15,Other Countries,0
2016,15,Republic of Korea,0
2016,15,Saudi Arabia,4
2016,16,Other Countries,0
2016,16,Republic of Korea,0
2016,16,Saudi Arabia,1
2016,17,Other Countries,0
2016,17,Republic of Korea,0
2016,17,Saudi Arabia,2
2016,18,Other Countries,1
2016,18,Republic of Korea,0
2016,18,Saudi Arabia,1
2016,19,Other Countries,0
2016,19,Republic of Korea,0
2016,19,Saudi Arabia,1
2016,20,Other Countries,0
2016,20,Republic of Korea,0
2016,20,Saudi Arabia,0
2016,21,Other Countries,0
2016,21,Republic of Korea,0
2016,21,Saudi Arabia,1
2016,22,Other Countries,0
2016,22,Republic of Korea,0
2016,22,Saudi Arabia,2
2016,23,Other Countries,2
2016,23,Republic of Korea,0
2016,23,Saudi Arabia,5
2016,24,Other Countries,0
2016,24,Republic of Korea,0
2016,24,Saudi Arabia,26
2016,25,Other Countries,0
2016,25,Republic of Korea,0
2016,25,Saudi Arabia,13
2016,26,Other Countries,0
2016,26,Republic of Korea,0
2016,26,Saudi Arabia,5
2016,27,Other Countries,0
2016,27,Republic of Korea,0
2016,27,Saudi Arabia,3
2016,28,Other Countries,0
2016,28,Republic of Korea,0
2016,28,Saudi Arabia,1
2016,29,Other Countries,0
2016,29,Republic of Korea,0
2016,29,Saudi Arabia,2
2016,30,Other Countries,1
2016,30,Republic of Korea,0
2016,30,Saudi Arabia,1
2016,31,Other Countries,0
2016,31,Republic of Korea,0
2016,31,Saudi Arabia,3
2016,32,Other Countries,0
2016,32,Republic of Korea,0
2016,32,Saudi Arabia,2
2016,33,Other Countries,0
2016,33,Republic of Korea,0
2016,33,Saudi Arabia,1
2016,34,Other Countries,0
2016,34,Republic of Korea,0
2016,34,Saudi Arabia,1
2016,35,Other Countries,0
2016,35,Republic of Korea,0
2016,35,Saudi Arabia,2
2016,36,Other Countries,1
2016,36,Republic of Korea,0
2016,36,Saudi Arabia,1
2016,37,Other Countries,0
2016,37,Republic of Korea,0
2016,37,Saudi Arabia,4
2016,38,Other Countries,0
2016,38,Republic of Korea,0
2016,38,Saudi Arabia,1
2016,39,Other Countries,0
2016,39,Republic of Korea,0
2016,39,Saudi Arabia,0
2016,40,Other Countries,0
2016,40,Republic of Korea,0
2016,40,Saudi Arabia,1
2016,41,Other Countries,0
2016,41,Republic of Korea,0
2016,41,Saudi Arabia,8
2016,42,Other Countries,0
2016,42,Republic of Korea,0
2016,42,Saudi Arabia,4
2016,43,Other Countries,0
2016,43,Republic of Korea,0
2016,43,Saudi Arabia,4
2016,44,Other Countries,0
2016,44,Republic of Korea,0
2016,44,Saudi Arabia,5
2016,45,Other Countries,0
2016,45,Republic of Korea,0
2016,45,Saudi Arabia,5
2016,46,Other Countries,1
2016,46,Republic of Korea,0
2016,46,Saudi Arabia,3
2016,47,Other Countries,0
2016,47,Republic of Korea,0
2016,47,Saudi Arabia,9
2016,48,Other Countries,0
2016,48,Republic of Korea,0
2016,48,Saudi Arabia,11
2016,49,Other Countries,0
2016,49,Republic of Korea,0
2016,49,Saudi Arabia,2
2016,50,Other Countries,0
2016,50,Republic of Korea,0
2016,50,Saudi Arabia,4
2016,51,Other Countries,0
2016,51,Republic of Korea,0
2016,51,Saudi Arabia,9
2016,52,Other Countries,0
2016,52,Republic of Korea,0
2016,52,Saudi Arabia,8
2017,1,Other Countries,0
2017,1,Republic of Korea,0
2017,1,Saudi Arabia,7
2017,2,Other Countries,0
2017,2,Republic of Korea,0
2017,2,Saudi Arabia,3
2017,3,Other Countries,0
2017,3,Republic of Korea,0
2017,3,Saudi Arabia,5
2017,4,Other Countries,0
2017,4,Republic of Korea,0
2017,4,Saudi Arabia,3
2017,5,Other Countries,0
2017,5,Republic of Korea,0
2017,5,Saudi Arabia,6
2017,6,Other Countries,0
2017,6,Republic of Korea,0
2017,6,Saudi Arabia,4
2017,7,Other Countries,0
2017,7,Republic of Korea,0
2017,7,Saudi Arabia,5
2017,8,Other Countries,0
2017,8,Republic of Korea,0
2017,8,Saudi Arabia,3
2017,9,Other Countries,0
2017,9,Republic of Korea,0
2017,9,Saudi Arabia,5
2017,10,Other Countries,0
2017,10,Republic of Korea,0
2017,10,Saudi Arabia,7
2017,11,Other Countries,1
2017,11,Republic of Korea,0
2017,11,Saudi Arabia,2
2017,12,Other Countries,1
2017,12,Republic of Korea,0
2017,12,Saudi Arabia,5
2017,13,Other Countries,0
2017,13,Republic of Korea,0
2017,13,Saudi Arabia,5
2017,14,Other Countries,0
2017,14,Republic of Korea,0
2017,14,Saudi Arabia,3
2017,15,Other Countries,2
2017,15,Republic of Korea,0
2017,15,Saudi Arabia,2
2017,16,Other Countries,0
2017,16,Republic of Korea,0
2017,16,Saudi Arabia,3
2017,17,Other Countries,0
2017,17,Republic of Korea,0
2017,17,Saudi Arabia,5
2017,18,Other Countries,1
2017,18,Republic of Korea,0
2017,18,Saudi Arabia,4
2017,19,Other Countries,0
2017,19,Republic of Korea,0
2017,19,Saudi Arabia,3
2017,20,Other Countries,2
2017,20,Republic of Korea,0
2017,20,Saudi Arabia,6
2017,21,Other Countries,0
2017,21,Republic of Korea,0
2017,21,Saudi Arabia,2
2017,22,Other Countries,0
2017,22,Republic of Korea,0
2017,22,Saudi Arabia,15
2017,23,Other Countries,1
2017,23,Republic of Korea,0
2017,23,Saudi Arabia,28
2017,24,Other Countries,0
2017,24,Republic of Korea,0
2017,24,Saudi Arabia,12
2017,25,Other Countries,0
2017,25,Republic of Korea,0
2017,25,Saudi Arabia,4
2017,26,Other Countries,0
2017,26,Republic of Korea,0
2017,26,Saudi Arabia,1
2017,27,Other Countries,0
2017,27,Republic of Korea,0
2017,27,Saudi Arabia,1
2017,28,Other Countries,1
2017,28,Republic of Korea,0
2017,28,Saudi Arabia,0
2017,29,Other Countries,0
2017,29,Republic of Korea,0
2017,29,Saudi Arabia,3
2017,30,Other Countries,0
2017,30,Republic of Korea,0
2017,30,Saudi Arabia,5
2017,31,Other Countries,0
2017,31,Republic of Korea,0
2017,31,Saudi Arabia,4
2017,32,Other Countries,1
2017,32,Republic of Korea,0
2017,32,Saudi Arabia,14
2017,33,Other Countries,0
2017,33,Republic of Korea,0
2017,33,Saudi Arabia,3
2017,34,Other Countries,1
2017,34,Republic of Korea,0
2017,34,Saudi Arabia,5
2017,35,Other Countries,0
2017,35,Republic of Korea,0
2017,35,Saudi Arabia,5
2017,36,Other Countries,0
2017,36,Republic of Korea,0
2017,36,Saudi Arabia,1
2017,37,Other Countries,0
2017,37,Republic of Korea,0
2017,37,Saudi Arabia,3
2017,38,Other Countries,0
2017,38,Republic of Korea,0
2017,38,Saudi Arabia,2
2017,39,Other Countries,0
2017,39,Republic of Korea,0
2017,39,Saudi Arabia,3
2017,40,Other Countries,0
2017,40,Republic of Korea,0
2017,40,Saudi Arabia,2
2017,41,Other Countries,0
2017,41,Republic of Korea,0
2017,41,Saudi Arabia,1
2017,42,Other Countries,1
2017,42,Republic of Korea,0
2017,42,Saudi Arabia,3
2017,43,Other Countries,0
2017,43,Republic of Korea,0
2017,43,Saudi Arabia,5
2017,44,Other Countries,0
2017,44,Republic of Korea,0
2017,44,Saudi Arabia,2
2017,45,Other Countries,0
2017,45,Republic of Korea,0
2017,45,Saudi Arabia,3
2017,46,Other Countries,0
2017,46,Republic of Korea,0
2017,46,Saudi Arabia,3
2017,47,Other Countries,0
2017,47,Republic of Korea,0
2017,47,Saudi Arabia,3
2017,48,Other Countries,0
2017,48,Republic of Korea,0
2017,48,Saudi Arabia,3
2017,49,Other Countries,0
2017,49,Republic of Korea,0
2017,49,Saudi Arabia,0
2017,50,Other Countries,1
2017,50,Republic of Korea,0
2017,50,Saudi Arabia,3
2017,51,Other Countries,0
2017,51,Republic of Korea,0
2017,51,Saudi Arabia,4
2017,52,Other Countries,1
2017,52,Republic of Korea,0
2017,52,Saudi Arabia,5
2017,53,Other Countries,0
2017,53,Republic of Korea,0
2017,53,Saudi Arabia,6
2018,1,Other Countries,0
2018,1,Republic of Korea,0
2018,1,Saudi Arabia,5
2018,2,Other Countries,0
2018,2,Republic of Korea,0
2018,2,Saudi Arabia,4
2018,3,Other Countries,0
2018,3,Republic of Korea,0
2018,3,Saudi Arabia,7
2018,4,Other Countries,0
2018,4,Republic of Korea,0
2018,4,Saudi Arabia,1
2018,5,Other Countries,0
2018,5,Republic of Korea,0
2018,5,Saudi Arabia,8
2018,6,Other Countries,1
2018,6,Republic of Korea,0
2018,6,Saudi Arabia,6
2018,7,Other Countries,0
2018,7,Republic of Korea,0
2018,7,Saudi Arabia,8
2018,8,Other Countries,0
2018,8,Republic of Korea,0
2018,8,Saudi Arabia,4
2018,9,Other Countries,0
2018,9,Republic of Korea,0
2018,9,Saudi Arabia,3
2018,10,Other Countries,0
2018,10,Republic of Korea,0
2018,10,Saudi Arabia,5
2018,11,Other Countries,0
2018,11,Republic of Korea,0
2018,11,Saudi Arabia,4
2018,12,Other Countries,0
2018,12,Republic of Korea,0
2018,12,Saudi Arabia,2
2018,13,Other Countries,0
2018,13,Republic of Korea,0
2018,13,Saudi Arabia,5
2018,14,Other Countries,0
2018,14,Republic of Korea,0
2018,14,Saudi Arabia,2
2018,15,Other Countries,0
2018,15,Republic of Korea,0
2018,15,Saudi Arabia,0
2018,16,Other Countries,0
2018,16,Republic of Korea,0
2018,16,Saudi Arabia,1
2018,17,Other Countries,1
2018,17,Republic of Korea,0
2018,17,Saudi Arabia,1
2018,18,Other Countries,0
