,TxnDate,TxnTime,Consumption
83395,02 Jan 2022,23:31:40,14.95
83424,02 Jan 2022,16:04:39,3.238
83453,02 Jan 2022,22:42:19,16.92
83482,02 Jan 2022,04:02:06,0.93
83511,02 Jan 2022,08:31:26,17.884
83540,02 Jan 2022,18:07:31,4.718
83569,02 Jan 2022,01:37:09,0.98
83598,02 Jan 2022,09:34:40,27.108
83627,02 Jan 2022,09:55:18,6.612
83656,02 Jan 2022,06:47:46,0.936
83685,02 Jan 2022,16:45:24,3.336
83714,02 Jan 2022,02:57:34,0.948
83754,02 Jan 2022,18:48:48,4.934
83783,02 Jan 2022,11:39:47,4.652
83812,02 Jan 2022,15:25:08,3.086
83841,02 Jan 2022,19:37:20,7.482
83870,02 Jan 2022,20:20:59,11.704
83888,02 Jan 2022,19:11:49,6.18
83917,02 Jan 2022,14:03:26,1.856
83946,02 Jan 2022,00:55:12,0.928
83975,02 Jan 2022,07:50:40,9.862
84004,02 Jan 2022,02:37:03,0.908
84033,02 Jan 2022,16:26:40,3.56
84062,02 Jan 2022,15:04:12,2.366
84091,02 Jan 2022,12:23:27,7.676
84120,02 Jan 2022,04:41:47,1.82
84149,02 Jan 2022,00:12:25,0.906
84178,02 Jan 2022,18:29:37,5.004
84207,02 Jan 2022,05:23:40,1.93
84236,02 Jan 2022,00:34:37,0.994
84265,02 Jan 2022,21:23:06,5.738
84294,02 Jan 2022,21:49:08,8.618
84323,02 Jan 2022,21:02:58,6.434
84352,02 Jan 2022,20:40:58,5.234
84381,02 Jan 2022,06:05:51,0.954
84410,02 Jan 2022,01:16:03,0.968
84439,02 Jan 2022,10:38:42,5.2
78107,03 Jan 2022,19:17:08,5.3
78136,03 Jan 2022,14:40:55,3.844
78165,03 Jan 2022,23:26:09,5.712
78194,03 Jan 2022,17:12:30,3.588
78223,03 Jan 2022,21:22:20,12.324
78252,03 Jan 2022,16:31:23,6.144
78281,03 Jan 2022,19:59:23,5.622
78310,03 Jan 2022,23:47:04,5.3
78339,03 Jan 2022,16:52:02,3.54
78368,03 Jan 2022,10:02:19,9.792
78397,03 Jan 2022,09:24:50,11.068
78426,03 Jan 2022,08:47:11,9.94
78455,03 Jan 2022,10:43:39,8.698
78484,03 Jan 2022,11:22:39,7.328
78513,03 Jan 2022,18:56:56,5.614
78542,03 Jan 2022,17:54:34,5.028
78565,03 Jan 2022,02:28:01,1.564
78594,03 Jan 2022,03:32:05,1.536
78623,03 Jan 2022,02:58:02,1.382
78652,03 Jan 2022,04:00:43,1.324
78681,03 Jan 2022,04:31:08,1.372
78710,03 Jan 2022,18:34:37,5.23
78739,03 Jan 2022,22:05:06,6.522
78768,03 Jan 2022,05:01:23,1.368
78797,03 Jan 2022,05:38:15,1.688
78826,03 Jan 2022,06:17:11,1.776
78855,03 Jan 2022,08:09:33,8.18
78884,03 Jan 2022,07:31:34,4.638
78913,03 Jan 2022,06:54:36,1.714
78942,03 Jan 2022,21:42:57,6.268
78971,03 Jan 2022,15:25:28,2.586
79000,03 Jan 2022,22:24:48,6.594
79029,03 Jan 2022,18:14:35,4.216
79058,03 Jan 2022,15:04:16,3.01
79087,03 Jan 2022,22:45:51,6.088
79116,03 Jan 2022,12:04:20,6.68
79145,03 Jan 2022,12:44:33,5.896
79174,03 Jan 2022,13:24:15,5.578
79203,03 Jan 2022,14:04:49,5.604
79232,03 Jan 2022,15:48:01,2.556
79261,03 Jan 2022,19:39:28,5.606
79290,03 Jan 2022,23:06:22,6.068
79319,03 Jan 2022,17:33:09,4.744
79348,03 Jan 2022,20:40:51,12.604
79383,03 Jan 2022,01:24:29,1.414
79412,03 Jan 2022,01:53:54,1.332
79441,03 Jan 2022,00:53:00,1.4
79470,03 Jan 2022,00:22:43,1.186
83546,04 Jan 2022,13:55:35,3.066
83575,04 Jan 2022,10:01:54,12.024
83604,04 Jan 2022,05:52:52,0.898
83633,04 Jan 2022,01:27:48,0.908
83662,04 Jan 2022,20:33:17,2.454
83691,04 Jan 2022,03:31:05,0.934
83720,04 Jan 2022,22:57:49,7.056
83749,04 Jan 2022,19:09:23,4.664
83778,04 Jan 2022,07:58:56,5.89
83807,04 Jan 2022,11:27:17,4.488
83836,04 Jan 2022,04:53:54,0.99
83865,04 Jan 2022,08:59:38,6.606
83894,04 Jan 2022,00:07:38,0.924
83923,04 Jan 2022,12:30:48,3.894
83952,04 Jan 2022,15:43:55,2.226
83981,04 Jan 2022,23:18:47,7.384
84010,04 Jan 2022,07:38:09,7.206
84039,04 Jan 2022,14:38:12,1.236
84068,04 Jan 2022,18:27:23,2.208
84097,04 Jan 2022,05:13:33,0.89
84126,04 Jan 2022,01:08:23,0.964
84155,04 Jan 2022,12:51:30,3.516
84184,04 Jan 2022,16:43:12,2.152
84213,04 Jan 2022,14:16:58,1.788
84242,04 Jan 2022,10:45:44,4.37
84271,04 Jan 2022,18:06:35,2.328
84300,04 Jan 2022,22:16:51,15.97
84329,04 Jan 2022,21:13:42,2.52
84358,04 Jan 2022,02:30:35,0.924
84387,04 Jan 2022,06:56:02,0.994
84416,04 Jan 2022,06:56:02,0.994
84445,04 Jan 2022,17:24:42,2.194
84474,04 Jan 2022,05:32:35,0.88
84503,04 Jan 2022,00:47:32,0.9
84532,04 Jan 2022,21:34:19,3.946
84561,04 Jan 2022,17:04:18,2.224
84590,04 Jan 2022,13:13:25,3.608
84619,04 Jan 2022,08:19:19,4.454
84648,04 Jan 2022,03:10:46,0.904
84677,04 Jan 2022,20:53:19,2.31
84706,04 Jan 2022,02:50:50,0.922
84735,04 Jan 2022,19:50:52,2.612
84764,04 Jan 2022,15:01:05,4.944
84793,04 Jan 2022,16:23:27,2.11
84822,04 Jan 2022,09:21:12,8.328
84851,04 Jan 2022,00:27:12,0.924
84880,04 Jan 2022,20:11:28,2.428
84909,04 Jan 2022,22:38:17,8.014
84938,04 Jan 2022,19:28:52,2.216
84967,04 Jan 2022,16:03:26,2.094
84996,04 Jan 2022,12:10:04,4.364
85025,04 Jan 2022,04:11:50,1.854
85054,04 Jan 2022,15:22:02,5.822
85083,04 Jan 2022,08:40:02,8.33
85112,04 Jan 2022,11:48:59,4.712
85141,04 Jan 2022,04:32:24,0.95
85170,04 Jan 2022,13:35:18,3.496
85180,04 Jan 2022,17:44:46,2.11
85228,04 Jan 2022,10:23:57,5.66
85257,04 Jan 2022,01:50:02,1.008
85286,04 Jan 2022,06:34:42,1.914
85315,04 Jan 2022,11:06:16,4.762
85344,04 Jan 2022,02:10:37,0.924
85373,04 Jan 2022,23:40:23,7.636
83486,05 Jan 2022,09:58:09,9.348
83515,05 Jan 2022,05:47:54,0.88
83544,05 Jan 2022,13:51:21,6.236
83573,05 Jan 2022,11:42:31,7.128
83602,05 Jan 2022,19:23:26,9.162
83631,05 Jan 2022,09:37:27,8.282
83660,05 Jan 2022,02:03:21,0.914
83689,05 Jan 2022,13:30:08,5.836
83718,05 Jan 2022,17:20:05,5.988
83747,05 Jan 2022,21:36:53,18.236
83776,05 Jan 2022,10:40:23,8.144
83805,05 Jan 2022,18:22:23,14.78
83834,05 Jan 2022,06:49:26,0.952
83863,05 Jan 2022,02:45:48,0.994
83892,05 Jan 2022,22:17:28,9.046
83921,05 Jan 2022,22:17:28,9.046
83950,05 Jan 2022,08:13:02,7.898
83979,05 Jan 2022,03:46:37,0.926
84008,05 Jan 2022,12:04:00,7.156
84037,05 Jan 2022,15:35:28,5.23
84066,05 Jan 2022,12:46:35,6.73
84095,05 Jan 2022,16:58:38,5.214
84124,05 Jan 2022,20:55:40,8.552
84153,05 Jan 2022,04:46:57,0.93
84182,05 Jan 2022,01:01:28,0.882
84211,05 Jan 2022,07:51:00,7.228
84240,05 Jan 2022,03:05:48,0.912
84269,05 Jan 2022,15:15:37,5.586
84298,05 Jan 2022,22:37:50,8.992
84327,05 Jan 2022,00:00:54,3.562
84356,05 Jan 2022,04:26:09,0.912
84385,05 Jan 2022,12:24:14,6.158
84414,05 Jan 2022,20:15:41,8.484
84443,05 Jan 2022,19:03:06,4.656
84472,05 Jan 2022,22:58:49,9.316
84501,05 Jan 2022,14:54:08,11.89
84530,05 Jan 2022,07:31:26,3.946
84559,05 Jan 2022,11:20:57,6.134
84588,05 Jan 2022,03:26:25,0.926
84617,05 Jan 2022,07:09:59,0.942
84646,05 Jan 2022,11:00:55,7.402
84675,05 Jan 2022,02:24:36,0.966
84704,05 Jan 2022,18:41:48,5.542
84733,05 Jan 2022,23:19:13,9.12
84762,05 Jan 2022,23:41:06,8.886
84791,05 Jan 2022,16:17:45,5.936
84820,05 Jan 2022,04:06:05,0.91
84849,05 Jan 2022,14:11:00,5.858
84878,05 Jan 2022,17:40:28,7.338
84907,05 Jan 2022,10:19:10,8.054
84936,05 Jan 2022,06:09:22,1.0
84965,05 Jan 2022,01:42:58,0.976
84994,05 Jan 2022,21:57:56,8.554
85023,05 Jan 2022,06:28:38,0.88
85052,05 Jan 2022,01:21:47,0.922
85081,05 Jan 2022,05:28:17,0.884
85110,05 Jan 2022,09:17:56,9.588
85139,05 Jan 2022,15:57:50,5.64
85168,05 Jan 2022,19:54:41,9.75
85197,05 Jan 2022,08:57:01,19.178
85226,05 Jan 2022,00:42:09,0.976
85255,05 Jan 2022,05:08:44,1.014
85284,05 Jan 2022,00:21:19,0.936
85313,05 Jan 2022,13:08:49,6.844
85342,05 Jan 2022,16:39:12,6.07
85371,05 Jan 2022,20:35:50,9.272
85263,06 Jan 2022,06:10:37,0.966
85292,06 Jan 2022,01:22:49,0.904
85321,06 Jan 2022,10:07:49,9.134
85350,06 Jan 2022,13:23:38,7.5
85379,06 Jan 2022,16:58:21,6.898
85408,06 Jan 2022,17:58:58,8.248
85437,06 Jan 2022,14:06:40,5.114
85466,06 Jan 2022,00:43:08,1.022
85495,06 Jan 2022,05:49:33,0.896
85524,06 Jan 2022,02:44:03,0.926
85553,06 Jan 2022,17:17:32,6.202
85582,06 Jan 2022,14:27:41,7.886
85611,06 Jan 2022,20:44:30,9.112
85640,06 Jan 2022,15:32:36,6.81
85669,06 Jan 2022,18:40:01,16.176
85698,06 Jan 2022,23:06:41,17.772
85727,06 Jan 2022,07:54:03,9.11
85756,06 Jan 2022,12:17:50,6.874
85785,06 Jan 2022,12:17:50,6.874
85814,06 Jan 2022,21:46:30,9.256
85843,06 Jan 2022,17:38:19,7.254
85872,06 Jan 2022,02:04:22,0.938
85901,06 Jan 2022,10:28:54,8.26
85930,06 Jan 2022,05:29:22,0.974
85959,06 Jan 2022,01:02:38,0.888
85988,06 Jan 2022,09:24:15,10.182
86017,06 Jan 2022,20:03:00,8.976
86046,06 Jan 2022,15:10:45,6.798
86075,06 Jan 2022,23:47:38,2.784
86104,06 Jan 2022,19:01:46,8.388
86133,06 Jan 2022,16:14:02,7.082
86162,06 Jan 2022,11:32:18,7.744
86191,06 Jan 2022,07:33:31,4.242
86220,06 Jan 2022,03:23:51,0.912
86249,06 Jan 2022,10:50:06,7.872
86278,06 Jan 2022,21:05:31,9.332
86307,06 Jan 2022,06:51:34,1.872
86336,06 Jan 2022,22:27:11,8.516
86365,06 Jan 2022,07:11:41,0.944
86394,06 Jan 2022,11:11:14,7.516
86423,06 Jan 2022,02:24:29,0.884
86452,06 Jan 2022,12:39:43,8.126
86481,06 Jan 2022,19:22:16,8.388
86510,06 Jan 2022,04:27:17,2.924
86539,06 Jan 2022,00:00:47,2.102
86568,06 Jan 2022,14:49:15,6.432
86597,06 Jan 2022,03:04:02,0.894
86626,06 Jan 2022,11:55:29,7.7
86655,06 Jan 2022,22:07:27,9.256
86684,06 Jan 2022,09:45:33,9.274
86713,06 Jan 2022,05:08:32,0.904
86742,06 Jan 2022,13:46:14,7.124
86774,06 Jan 2022,01:44:11,0.994
86803,06 Jan 2022,21:25:47,8.972
86832,06 Jan 2022,12:59:33,6.392
86861,06 Jan 2022,20:24:18,8.424
86890,06 Jan 2022,16:36:37,7.168
86919,06 Jan 2022,09:01:22,9.29
86948,06 Jan 2022,00:21:03,0.918
86977,06 Jan 2022,04:48:19,0.96
87006,06 Jan 2022,19:42:14,7.54
87035,06 Jan 2022,15:53:30,7.012
87064,06 Jan 2022,08:40:21,20.82
87093,06 Jan 2022,23:28:11,9.312
85106,07 Jan 2022,02:54:56,0.932
85135,07 Jan 2022,08:06:46,9.496
85164,07 Jan 2022,08:06:46,9.496
85193,07 Jan 2022,23:49:52,17.26
85222,07 Jan 2022,16:35:19,6.04
85251,07 Jan 2022,19:58:56,8.204
85280,07 Jan 2022,18:58:00,7.012
85309,07 Jan 2022,08:27:56,9.14
85338,07 Jan 2022,03:57:00,0.944
85367,07 Jan 2022,06:41:21,0.944
85396,07 Jan 2022,13:28:30,6.146
85425,07 Jan 2022,20:41:00,8.78
85454,07 Jan 2022,16:56:15,6.348
85460,07 Jan 2022,13:07:44,8.168
85512,07 Jan 2022,00:48:57,0.93
85541,07 Jan 2022,04:56:36,1.816
85570,07 Jan 2022,23:07:50,8.142
85583,07 Jan 2022,17:16:02,7.238
85612,07 Jan 2022,10:09:15,8.546
85641,07 Jan 2022,02:13:36,1.99
85670,07 Jan 2022,05:59:13,0.908
85699,07 Jan 2022,04:16:47,0.924
85728,07 Jan 2022,15:12:16,6.11
85757,07 Jan 2022,21:02:12,9.436
85786,07 Jan 2022,15:33:12,5.678
85815,07 Jan 2022,12:19:59,6.534
85844,07 Jan 2022,08:48:07,8.868
85873,07 Jan 2022,19:19:41,8.548
85902,07 Jan 2022,22:47:43,9.064
85931,07 Jan 2022,21:23:56,8.716
85960,07 Jan 2022,07:24:18,0.934
85989,07 Jan 2022,11:58:44,7.578
86035,07 Jan 2022,17:36:08,6.258
86064,07 Jan 2022,18:38:17,8.118
86093,07 Jan 2022,14:51:19,5.838
86122,07 Jan 2022,10:54:16,8.008
86151,07 Jan 2022,01:30:29,0.99
86180,07 Jan 2022,21:45:08,8.484
86209,07 Jan 2022,05:38:38,0.986
86238,07 Jan 2022,01:08:45,0.9
86267,07 Jan 2022,13:49:31,5.63
86296,07 Jan 2022,11:15:18,6.81
86308,07 Jan 2022,03:36:19,0.892
86337,07 Jan 2022,18:17:01,7.17
86366,07 Jan 2022,22:26:56,8.072
86395,07 Jan 2022,12:41:59,7.052
86424,07 Jan 2022,16:14:18,6.34
86453,07 Jan 2022,05:17:09,0.946
86482,07 Jan 2022,00:29:09,1.91
86511,07 Jan 2022,14:09:32,5.98
86540,07 Jan 2022,17:55:57,7.132
86569,07 Jan 2022,07:03:55,1.028
86598,07 Jan 2022,02:34:48,0.96
86627,07 Jan 2022,07:45:46,8.934
86656,07 Jan 2022,03:16:15,0.976
86685,07 Jan 2022,11:36:14,7.174
86714,07 Jan 2022,19:39:04,7.36
86743,07 Jan 2022,22:07:13,9.192
86788,07 Jan 2022,14:30:15,6.018
86817,07 Jan 2022,10:30:53,8.632
86846,07 Jan 2022,15:53:55,5.868
86875,07 Jan 2022,06:20:25,0.988
86904,07 Jan 2022,09:47:41,25.282
86933,07 Jan 2022,20:19:03,7.964
73596,08 Jan 2022,00:10:47,0.974
73625,08 Jan 2022,06:13:41,0.988
73654,08 Jan 2022,09:47:11,0.986
73683,08 Jan 2022,17:25:44,0.914
73712,08 Jan 2022,03:22:00,1.002
73741,08 Jan 2022,12:33:03,0.898
73770,08 Jan 2022,18:07:35,0.932
73799,08 Jan 2022,23:45:03,0.926
73828,08 Jan 2022,06:54:29,0.896
73857,08 Jan 2022,15:22:42,0.964
73886,08 Jan 2022,08:20:11,2.022
73915,08 Jan 2022,12:13:36,0.968
73944,08 Jan 2022,17:46:59,0.968
73973,08 Jan 2022,22:39:08,0.952
74002,08 Jan 2022,10:09:03,0.994
74031,08 Jan 2022,00:30:25,0.912
74060,08 Jan 2022,15:41:57,0.86
74089,08 Jan 2022,19:06:36,0.898
74118,08 Jan 2022,14:36:50,0.896
74147,08 Jan 2022,10:51:53,0.914
74176,08 Jan 2022,05:52:06,0.992
74205,08 Jan 2022,23:24:37,1.022
74234,08 Jan 2022,04:03:25,0.924
74263,08 Jan 2022,08:42:13,1.022
74292,08 Jan 2022,16:04:01,0.992
74321,08 Jan 2022,21:58:48,0.992
74350,08 Jan 2022,22:17:54,0.896
74379,08 Jan 2022,16:44:53,0.924
74408,08 Jan 2022,21:16:29,0.98
74437,08 Jan 2022,04:25:35,1.008
74466,08 Jan 2022,01:33:12,0.96
74495,08 Jan 2022,05:09:24,1.014
74524,08 Jan 2022,09:25:32,1.982
74535,08 Jan 2022,17:05:28,0.96
74564,08 Jan 2022,13:15:50,1.028
74593,08 Jan 2022,13:56:55,0.92
74640,08 Jan 2022,20:55:03,1.952
74669,08 Jan 2022,01:12:30,0.972
74698,08 Jan 2022,05:30:24,0.96
74727,08 Jan 2022,00:51:12,0.94
74756,08 Jan 2022,04:47:13,1.002
74785,08 Jan 2022,11:52:03,0.864
74814,08 Jan 2022,16:23:53,0.922
74843,08 Jan 2022,21:36:58,0.912
74872,08 Jan 2022,10:31:17,1.032
74901,08 Jan 2022,14:17:27,0.924
74930,08 Jan 2022,20:08:24,0.956
74959,08 Jan 2022,02:16:58,1.988
74988,08 Jan 2022,06:34:39,0.948
75017,08 Jan 2022,07:35:48,0.948
75046,08 Jan 2022,11:12:10,0.94
75075,08 Jan 2022,02:59:50,0.976
75104,08 Jan 2022,02:38:45,0.996
75133,08 Jan 2022,07:15:16,0.948
75162,08 Jan 2022,11:33:03,0.96
75191,08 Jan 2022,15:01:25,1.116
75220,08 Jan 2022,19:47:35,1.868
75249,08 Jan 2022,12:52:49,0.894
75278,08 Jan 2022,03:43:33,0.966
75307,08 Jan 2022,13:36:59,0.948
75336,08 Jan 2022,18:46:29,1.77
75365,08 Jan 2022,23:02:00,1.062
77600,09 Jan 2022,20:54:31,8.784
77629,09 Jan 2022,09:09:59,0.912
77658,09 Jan 2022,23:41:11,18.39
77687,09 Jan 2022,19:52:56,0.94
77716,09 Jan 2022,16:44:52,1.016
77745,09 Jan 2022,13:18:08,0.962
77774,09 Jan 2022,09:30:50,0.996
77803,09 Jan 2022,05:02:19,0.946
77832,09 Jan 2022,00:04:59,0.926
77861,09 Jan 2022,18:50:15,1.882
77890,09 Jan 2022,15:20:47,0.964
77919,09 Jan 2022,10:32:39,0.97
77948,09 Jan 2022,02:37:18,0.952
77977,09 Jan 2022,21:57:25,8.878
78006,09 Jan 2022,10:11:57,1.898
78035,09 Jan 2022,13:59:01,0.9
78064,09 Jan 2022,07:06:59,0.894
78093,09 Jan 2022,06:47:25,0.942
78122,09 Jan 2022,01:54:08,2.086
78151,09 Jan 2022,07:28:37,0.988
78180,09 Jan 2022,02:57:16,0.928
78209,09 Jan 2022,14:19:15,0.936
78238,09 Jan 2022,03:59:28,0.956
78267,09 Jan 2022,22:18:15,9.164
78296,09 Jan 2022,04:41:37,0.956
78325,09 Jan 2022,13:39:09,0.992
78354,09 Jan 2022,17:26:39,1.956
78383,09 Jan 2022,19:32:44,1.012
78412,09 Jan 2022,16:02:20,0.97
78441,09 Jan 2022,08:09:16,0.954
78470,09 Jan 2022,12:36:54,0.944
78499,09 Jan 2022,03:38:34,0.948
78528,09 Jan 2022,22:58:05,8.794
78557,09 Jan 2022,12:56:55,0.926
78586,09 Jan 2022,20:34:48,8.102
78615,09 Jan 2022,08:49:48,0.922
78644,09 Jan 2022,03:18:14,0.948
78673,09 Jan 2022,17:48:20,1.012
78702,09 Jan 2022,00:24:51,0.9
78731,09 Jan 2022,10:52:26,0.922
78760,09 Jan 2022,06:26:25,0.908
78789,09 Jan 2022,01:04:57,0.92
78818,09 Jan 2022,06:06:47,1.06
78847,09 Jan 2022,16:22:57,0.95
78876,09 Jan 2022,08:30:09,0.974
78905,09 Jan 2022,04:20:32,0.964
78934,09 Jan 2022,11:34:41,0.908
78963,09 Jan 2022,19:10:50,0.984
78992,09 Jan 2022,22:38:02,8.854
79021,09 Jan 2022,14:40:24,1.0
79050,09 Jan 2022,15:41:07,0.952
79079,09 Jan 2022,20:13:30,0.956
79108,09 Jan 2022,00:44:48,0.916
79137,09 Jan 2022,05:43:31,1.882
79166,09 Jan 2022,12:16:36,1.024
79195,09 Jan 2022,07:48:50,0.962
79224,09 Jan 2022,21:38:03,9.758
79253,09 Jan 2022,21:15:52,9.572
79282,09 Jan 2022,11:15:04,1.062
79311,09 Jan 2022,11:54:29,0.94
79340,09 Jan 2022,02:15:57,0.998
79369,09 Jan 2022,18:09:03,0.958
79398,09 Jan 2022,14:59:37,0.88
77114,10 Jan 2022,19:54:47,7.48
77143,10 Jan 2022,08:33:11,0.922
77172,10 Jan 2022,11:58:57,0.944
77201,10 Jan 2022,04:29:47,0.952
77233,10 Jan 2022,12:18:24,0.914
77286,10 Jan 2022,21:35:48,8.444
77289,10 Jan 2022,12:18:24,0.914
77317,10 Jan 2022,08:53:14,0.922
77346,10 Jan 2022,04:48:51,0.87
77375,10 Jan 2022,10:58:05,0.99
77404,10 Jan 2022,14:09:08,1.074
77433,10 Jan 2022,06:32:26,1.014
77462,10 Jan 2022,03:04:21,1.012
77491,10 Jan 2022,21:57:08,8.444
77520,10 Jan 2022,06:52:57,0.944
77549,10 Jan 2022,02:23:21,0.912
77578,10 Jan 2022,14:28:53,0.912
77607,10 Jan 2022,16:51:00,6.384
77636,10 Jan 2022,19:35:24,15.306
77665,10 Jan 2022,15:10:09,0.988
77694,10 Jan 2022,20:54:34,7.78
77723,10 Jan 2022,11:38:25,0.932
77752,10 Jan 2022,07:33:17,0.91
77781,10 Jan 2022,02:03:32,0.906
77810,10 Jan 2022,22:18:47,8.68
77839,10 Jan 2022,17:52:10,6.636
77868,10 Jan 2022,08:13:41,0.936
77897,10 Jan 2022,03:47:41,0.932
77926,10 Jan 2022,13:03:18,1.116
77955,10 Jan 2022,15:50:47,0.904
77984,10 Jan 2022,05:09:42,0.962
78013,10 Jan 2022,09:56:23,0.992
78042,10 Jan 2022,20:34:28,8.204
78071,10 Jan 2022,20:15:45,7.734
78100,10 Jan 2022,05:50:00,1.886
78129,10 Jan 2022,00:41:56,0.924
78158,10 Jan 2022,13:24:35,0.974
78187,10 Jan 2022,16:11:44,3.81
78216,10 Jan 2022,18:32:57,6.902
78245,10 Jan 2022,04:08:53,0.976
78274,10 Jan 2022,21:14:24,8.256
78303,10 Jan 2022,17:12:05,6.328
78332,10 Jan 2022,10:37:27,0.956
78356,10 Jan 2022,06:10:26,0.94
78385,10 Jan 2022,00:22:16,1.864
78414,10 Jan 2022,23:20:38,8.392
78443,10 Jan 2022,13:45:32,0.982
78472,10 Jan 2022,17:31:46,5.756
78501,10 Jan 2022,01:23:09,0.892
78530,10 Jan 2022,10:16:22,0.936
78564,10 Jan 2022,09:12:28,0.92
78593,10 Jan 2022,03:27:43,1.056
78622,10 Jan 2022,23:42:16,9.094
78651,10 Jan 2022,16:31:04,7.214
78680,10 Jan 2022,09:35:45,1.056
78709,10 Jan 2022,01:03:10,0.97
78738,10 Jan 2022,23:00:18,8.104
78767,10 Jan 2022,18:11:59,7.194
78796,10 Jan 2022,02:42:50,0.9
78825,10 Jan 2022,12:39:44,0.972
78854,10 Jan 2022,07:13:03,0.926
78883,10 Jan 2022,15:30:37,0.944
78912,10 Jan 2022,01:43:21,0.956
78941,10 Jan 2022,07:53:17,0.956
78970,10 Jan 2022,11:18:47,0.946
78999,10 Jan 2022,14:48:38,0.944
79028,10 Jan 2022,18:54:15,8.156
79057,10 Jan 2022,22:40:03,8.692
79534,11 Jan 2022,21:57:29,8.154
79563,11 Jan 2022,10:28:50,7.86
79592,11 Jan 2022,06:35:59,0.96
79621,11 Jan 2022,17:05:22,5.674
79650,11 Jan 2022,15:19:12,3.184
79679,11 Jan 2022,10:48:52,7.52
79708,11 Jan 2022,07:15:35,0.88
79737,11 Jan 2022,03:05:27,0.966
79766,11 Jan 2022,19:50:56,7.82
79795,11 Jan 2022,14:37:58,4.186
79824,11 Jan 2022,07:36:18,0.982
79853,11 Jan 2022,11:10:19,6.368
79882,11 Jan 2022,21:12:42,8.29
79911,11 Jan 2022,17:45:57,6.648
79940,11 Jan 2022,13:15:26,4.752
79969,11 Jan 2022,03:45:59,0.908
