year	period	CPUE	log.CPUE	growth rate CPUE	peak rodent year	NAO May_Jun_Jul	temp.PREINC	temp.INC	temp.HATCH	temp.BROOD	temp.WINTER	temp.SPRING	prec.PREINC	prec.INC	prec.HATCH	prec.BROOD	opening day hunt (julian day)
1887	1872_1900	23	3.14	0.14	yes	0.36	10.1	15.1	16.1	16	-2.9	4.6	67.8	3.7	0	39.5	227
1888	1872_1900	6	1.79	-1.34	no	-0.24	8.3	14.3	19.8	15	-5.8	0.5	61.6	31.4	0	32.3	227
1889	1872_1900	12	2.48	0.69	no	0.16	13.8	15	18.6	17	-2.8	4.9	0	5.1	0	28.5	227
1890	1872_1900	22	3.09	0.61	yes	0.13	11.8	13	13.9	13.1	-1.5	5.3	49.1	34.7	22.1	104.5	227
1891	1872_1900	35	3.56	0.46	yes	-2.02	9	12.4	20.4	17.6	-4.6	2.8	85	14.2	0	34.7	227
1892	1872_1900	5	1.61	-1.95	no	-0.29	9.1	12.6	13.1	14.3	-5.1	3.5	23.9	62.7	6.9	34	227
1893	1872_1900	15	2.71	1.10	no	-0.56	9.5	15.5	13.1	17.2	-8.5	4.9	48.7	13.7	21.7	33.6	227
1894	1872_1900	25	3.22	0.51	yes	0.86	8.5	14.1	15.9	18.5	-1.4	5.5	89.4	52	17	40.8	227
1895	1872_1900	20	3.00	-0.22	yes	0.51	13.3	14.3	14.5	15	-6.1	5.2	48.2	78.3	34.7	72.5	227
1896	1872_1900	6	1.79	-1.20	no	0.02	11.4	18.6	14.7	16.2	-3.5	5.2	5.9	35.9	12.2	28.7	227
1897	1872_1900	11	2.40	0.61	no	-0.66	10.1	14	15.1	16.3	-4.9	4.2	0	53.9	12.2	17.4	227
1898	1872_1900	7	1.95	-0.45	no	-0.97	8.7	14.3	13.8	15.2	-0.9	3.3	117.7	26.6	6.6	45.8	227
1899	1872_1900	8	2.08	0.13	no	0.39	8.9	14.1	14.5	18.4	-3.6	3.4	44.4	23.9	25.7	35.5	227
1900	1872_1900	2	0.69	-1.39	no	-0.67	8.5	16	15.8	15.2	-6.3	2.8	47.4	22.9	17.8	64.6	258
1901	1901_1916	3	1.10	0.41	no	-0.78	11.8	14.2	15.2	18.2	-5.3	4.7	63.8	43.4	51.8	51.2	258
1902	1901_1916	5	1.61	0.51	no	-1.32	7.3	13.3	17.6	15.6	-3.9	2.8	47.8	7.8	0	28	237
1903	1901_1916	10	2.30	0.69	yes	-0.74	10.3	14.1	15.3	14.8	-4.3	5.1	54.4	19.1	5.9	42.7	237
1904	1901_1916	8	2.08	-0.22	no	0.28	8.7	14	12.5	16.5	-3.7	2.9	62.2	14.8	3.4	7.7	237
1905	1901_1916	15	2.71	0.63	no	-1.02	10.4	16	18.8	17.7	-2.4	4.4	42.8	39.7	13.5	43.4	237
1906	1901_1916	33	3.50	0.79	yes	-0.71	10.4	17	17	15.1	-1.9	4.6	63.8	0.2	0.5	42.5	237
1907	1901_1916	18	2.89	-0.61	yes	-0.4	8.4	13	12.7	13.8	-3.8	4.2	90.2	53.5	28.7	96.5	237
1908	1901_1916	16	2.77	-0.12	no	0.95	9.6	13.3	16.7	16	-3.3	3.1	67.6	52.9	0	40.3	237
1909	1901_1916	30	3.40	0.63	yes	0.11	7.5	13.6	15.8	16.7	-2.9	1.8	62.3	42.4	27.1	43.8	237
1910	1901_1916	15	2.71	-0.69	no	-1.4	11.2	16.7	13.5	15.3	-3.3	5.9	88	8.4	27.5	70.8	237
1911	1901_1916	35	3.56	0.85	no	0.58	12.5	13.7	14.7	16.4	-2.2	5.8	44.7	22.7	30.6	31.6	237
1912	1901_1916	30	3.40	-0.15	yes	-0.23	10	14.3	15.6	17.2	-4.2	5	34.8	67.2	12.1	22.5	237
1913	1901_1916	7.5	2.01	-1.39	no	0.14	11.1	13.9	15.7	16.2	-1.6	6	82.5	18.4	17.2	40.6	237
1914	1901_1916	9.3	2.23	0.22	no	0.55	9.3	16.4	16.1	19.8	-3.3	4.8	43	25.4	22.2	19	237
1915	1901_1916	6.4	1.86	-0.37	yes	-1.99	9.1	12.9	14.6	16	-2.6	3.3	22.1	7.4	0	96.8	237
1916	1901_1916	4.3	1.46	-0.40	no	-1.48	9.9	11.4	16.2	15.7	-4.7	3.8	82.8	53.7	4.1	28.2	237
1917	1917_2013	3.5	1.25	-0.21	no	-0.33	10.5	16.8	14	14.8	-6.8	2.5	9.2	15.6	45	58.7	237
1918	1917_2013	7	1.95	0.69	yes	-0.14	12	13.6	11.2	14.3	-4.4	5.6	7.9	35.9	51.6	73.3	237
1919	1917_2013	12	2.48	0.54	yes	0.63	12	12.7	11.4	15.9	-4.3	4.4	17.9	33.1	14.9	20.7	237
1920	1917_2013	15	2.71	0.22	yes	0.34	10.5	15.4	15.2	15.8	-3.9	5.8	82.9	63.7	70.2	66.2	237
1921	1917_2013	4	1.39	-1.32	no	-0.88	10.9	13.2	14.1	15.5	-3	6.9	60	30.7	0.3	11.6	237
1922	1917_2013	2.5	0.92	-0.47	yes	1.65	9.4	14.6	13.4	13.3	-4	3.8	41.3	14.9	9.6	98.2	237
1923	1917_2013	5	1.61	0.69	yes	0.82	8	11	12.1	16.1	-2.2	3.6	80.6	22.1	0.9	2.3	253
1924	1917_2013	2	0.69	-0.92	no	-0.66	8	13.2	16	14	-5.1	2	99.9	49.2	11.1	65.2	253
1925	1917_2013	6	1.79	1.10	no	0.1	9.8	15	14.6	17.6	0.8	4.1	107.3	22.9	15.7	35.8	253
1926	1917_2013	8	2.08	0.29	yes	-1.22	9.4	14.3	12.9	17.3	-6.3	5	112.2	72.1	13.5	19.7	253
1927	1917_2013	6	1.79	-0.29	no	-1.26	6.8	10.6	10.7	16.7	-3	3.5	47.5	70.8	53.7	97.9	244
1928	1917_2013	7	1.95	0.15	no	-0.86	9.8	10.9	13.2	13.9	-5.1	3.7	16	24.9	22.3	53.9	244
1929	1917_2013	11	2.40	0.45	yes	0.29	8.8	12.3	13.5	14.7	-6.1	3.9	69.5	34	0.9	21.2	244
1930	1917_2013	8.7	2.16	-0.23	yes	0.06	10.6	14.8	16.4	15.6	-0.5	5.6	56.5	40.1	14.4	113.1	244
1931	1917_2013	5.7	1.74	-0.42	no	-0.57	9.7	11.8	13.6	15.7	-3.8	2.8	86	2.9	2.1	18.4	244
1932	1917_2013	5.3	1.67	-0.07	no	-0.98	10.4	13.1	15.9	17.4	-0.8	4.2	66.1	20.3	1	31.6	253
1933	1917_2013	5.8	1.76	0.09	yes	0.15	9.9	17.9	17.3	18.5	-1.7	4.6	75.2	57.7	37.7	35.5	253
1934	1917_2013	6	1.79	0.03	yes	-0.75	10.6	14.3	13.6	17	-1.9	5.3	69.2	32.6	23.2	5.7	253
1935	1917_2013	3	1.10	-0.69	no	0.05	9	13.5	20.2	18.9	-1	4.5	4.2	71.3	0	18.6	253
1936	1917_2013	2	0.69	-0.41	no	-0.08	11	16.7	20.5	18.1	-4.2	4.4	33.6	24.7	9.4	35.9	253
1937	1917_2013	3	1.10	0.41	yes	1	11.3	13.4	14.2	16.9	-2.5	4.4	81.7	101.9	54.7	13	253
1938	1917_2013	4	1.39	0.29	yes	0.74	9.2	13.6	13	13.5	-3.1	6.4	42.1	26.8	7.2	69.2	253
1939	1917_2013	1	0.00	-1.39	no	-0.91	10.6	15.6	15	14.3	-2.1	5.7	31.3	31.3	8.6	53.9	253
1940	1917_2013	3	1.10	1.10	no	-0.89	11.8	16.6	15.7	17.2	-8.1	3.5	11.6	5	12.6	82.2	253
1941	1917_2013	5	1.61	0.51	yes	0.26	9.2	14.2	19.4	19.3	-8.8	2.7	21.1	34.8	0	62.6	253
1942	1917_2013	6	1.79	0.18	no	-0.38	9.3	12.5	12.8	15.5	-9.1	2.4	80.8	41	33.7	49.9	253
1943	1917_2013	4	1.39	-0.41	no	1.38	11.1	14.7	15.3	15.4	-2.3	6.5	60.6	48.4	20.3	43	253
1944	1917_2013	8	2.08	0.69	yes	-1.51	8.6	12.2	13.6	16.9	-2.9	3.7	37.7	106.4	2.6	60.6	253
1945	1917_2013	5	1.61	-0.47	yes	-0.29	10.1	14.1	17.7	17.6	-2.7	6	95.9	52	26	51.8	253
1946	1917_2013	3	1.10	-0.51	no	0.84	11.3	12.6	15	16.9	-3.9	5.1	44.6	118.4	3.6	31.2	253
1947	1917_2013	3	1.10	0.00	no	-0.27	14.1	15.1	18.7	17.7	-6.3	4	2.8	19.8	5.4	49.1	253
1948	1917_2013	2	0.69	-0.41	yes	-0.3	11.7	13.7	14.6	16.7	-6.1	6.2	65.8	81.1	24.5	63.6	253
1949	1917_2013	1.9	0.64	-0.05	yes	-1.28	11.3	14.3	15.8	18.3	0.3	5.4	84.8	51	0	21.3	253
1950	1917_2013	1	0.00	-0.64	no	-0.45	11.7	14	14.5	15.4	-3.3	6.1	35.9	100.6	69.8	21.8	253
1951	1917_2013	1	0.00	0.00	no	-0.72	9.7	13.8	15.2	14.6	-4.4	2.9	19.3	42.4	26.8	59	258
1952	1917_2013	2	0.69	0.69	no	-0.57	10.3	12	13.2	16.8	-1.9	4.3	69.6	40.8	0.8	19.9	258
1953	1917_2013	5	1.61	0.92	yes	-1.19	10.1	16.9	20.4	18.2	-4.8	5.7	70.7	0	0	81.6	258
1954	1917_2013	5	1.61	0.00	no	-0.32	11.7	13.7	13.3	14.8	-4.6	4.7	59.8	86.1	61.5	56.8	258
1955	1917_2013	6	1.79	0.18	yes	-0.39	8.2	13.2	14.8	18.6	-4.5	2.7	79.9	21	1.8	18.8	258
1956	1917_2013	5	1.61	-0.18	no	2.05	10.8	13.7	13.5	15.1	-7.5	4.1	24.5	68.3	34.3	114.1	258
1957	1917_2013	2	0.69	-0.92	no	-0.71	8.8	13.3	11.2	14.8	-2.2	3.8	51.2	70.1	16.5	47	258
1958	1917_2013	2	0.69	0.00	no	-0.18	8.7	13.3	14.3	18	-5.6	1.9	67.5	28.5	14.8	55.7	258
1959	1917_2013	5	1.61	0.92	yes	-0.14	11.1	14.4	18.2	17.2	-5.6	5.7	22	7.9	0	45.7	258
1960	1917_2013	2	0.69	-0.92	no	-0.05	11.7	15.5	18.5	14.1	-4.5	5.4	45.1	20	9.3	155.2	258
1961	1917_2013	3	1.10	0.41	no	0.61	10.4	15.1	13.3	15.4	-2.8	6.2	50.5	33.8	7.9	24.6	258
1962	1917_2013	6	1.79	0.69	yes	-0.26	7.9	13.2	12.7	13.7	-3.5	2.3	98.7	31.6	20.3	56.6	258
1963	1917_2013	7	1.95	0.15	yes	-0.17	10.4	15.6	13.4	15.1	-9.6	3.1	148.1	24.8	15.9	30.1	258
1964	1917_2013	4	1.39	-0.56	no	1.03	10.5	12.7	13.7	13.1	-3.9	4.7	40.6	117.4	25.1	39.2	258
1965	1917_2013	5	1.61	0.22	no	-0.31	8.8	13.9	13.7	12.5	-3.7	3.7	89	64.1	35.1	47.2	258
1966	1917_2013	8	2.08	0.47	yes	0.11	9.1	16.9	15.4	15.9	-10.1	2.7	83.3	17.4	5.6	61.6	258
1967	1917_2013	6	1.79	-0.29	no	0.98	9.2	13.7	12.6	14.9	-5.2	5.1	96.5	51	29.6	22.9	258
1968	1917_2013	5	1.61	-0.18	no	-0.84	9.2	16.2	14	14.4	-6.3	5	64.1	80.1	44.2	76	258
1969	1917_2013	6	1.79	0.18	yes	0.77	9.5	17.2	19.3	15.8	-5.5	2.8	110.2	20.1	0.3	50.7	258
1970	1917_2013	5	1.61	-0.18	yes	0.68	11	18.4	17.1	14.6	-8.3	3.7	6	34.2	28.2	119.8	258
1971	1917_2013	1	0.00	-1.61	no	-0.99	11.5	13.1	13.3	17.2	-1.9	4.3	46.5	18.3	11.7	39.7	258
1972	1917_2013	2	0.69	0.69	no	0.91	10.7	12.9	13.3	16.5	-3.1	5	83.9	92.2	8.3	58.1	258
1973	1917_2013	2.5	0.92	0.22	yes	-0.22	10	14.7	18.1	17.8	0.2	5.6	101.1	13.9	0	39.1	258
1974	1917_2013	3.5	1.25	0.34	yes	0.64	10.8	14.9	16.7	14.5	-0.6	6.4	26.3	56.8	9.4	88.2	258
1975	1917_2013	2.3	0.83	-0.42	no	-0.54	10.5	14.6	16.9	17.2	-1.2	5	57.9	16.2	0.2	10.3	258
1976	1917_2013	2.4	0.88	0.04	no	0.8	10.6	14.3	17.4	18.7	-2.2	4.7	51.5	16.9	1.5	10.5	258
1977	1917_2013	2.9	1.06	0.19	yes	-1.22	10.9	15.4	15.4	16.6	-5.6	4.4	35	51	4.8	53.9	258
1978	1917_2013	3.1	1.13	0.07	yes	0.06	11.3	15.4	13.9	14.3	-4	4.1	15.5	51.9	46.3	94.3	258
1979	1917_2013	2.2	0.79	-0.34	no	1.33	8.6	15.6	14.8	14.5	-8.3	3.5	88.3	20.9	21.2	30.1	258
1980	1917_2013	2.8	1.03	0.24	no	-1.13	11.5	16.4	12.7	15.2	-6.6	4.7	59.8	75.3	21.9	72.1	258
1981	1917_2013	3.4	1.22	0.19	yes	0.07	11.7	12.4	14	14.8	-2.9	4.4	48.2	72.6	1.5	90.5	258
1982	1917_2013	2.8	1.03	-0.19	no	-0.47	9.9	13.6	12.8	15.7	-7.5	5.4	93.6	30.3	35.6	43.8	258
1983	1917_2013	4.2	1.44	0.41	no	-0.26	10.1	14.1	15	NA	-1.8	5.5	93.5	18.2	1.3	13	258
1984	1917_2013	3.8	1.34	-0.10	no	-0.36	12.3	14.6	12.6	14.9	-3.2	5.2	81.9	59.7	18.9	76.8	258
1985	1917_2013	5.6	1.72	0.39	yes	-0.71	11.6	13.6	15.7	15.5	-7.1	4	24	69	40.4	84	258
1986	1917_2013	4.4	1.48	-0.24	no	0.58	10.4	15.6	18.2	17.4	-8.2	4	78.2	19.3	0	24.5	258
1987	1917_2013	4.3	1.46	-0.02	no	-0.88	9.1	11	11.5	14.9	-6.7	2.4	64.2	99.9	12.2	53.8	258
1988	1917_2013	6.8	1.92	0.46	yes	-0.84	12.2	17.1	21.2	17.5	-1.5	4	43.1	25.8	0	108.5	253
1989	1917_2013	4.8	1.57	-0.35	no	0.4	10.4	15.2	17.1	15.7	0.7	6.2	26	33.6	0.5	46.9	253
1990	1917_2013	3.7	1.31	-0.26	no	0.22	11.9	14.9	14	14	3.2	7.6	11.6	78.3	38.7	59.2	253
1991	1917_2013	4.1	1.41	0.10	yes	-0.21	10.3	11	12.3	16.3	-3.2	5.6	0.3	88.7	17	22.7	253
1992	1917_2013	3.1	1.13	-0.28	no	0.03	13.3	17.1	16.6	16.3	0	6.4	49.1	16.1	0	43.5	253
1993	1917_2013	3.3	1.19	0.06	no	-0.6	12.5	12.9	13.1	14.8	-0.6	6.3	53.9	32	24	46.2	253
1994	1917_2013	2.3	0.83	-0.36	yes	0.49	10.8	12.9	14.1	18.4	-5.7	5.7	4.9	26.2	18.6	23.8	253
1995	1917_2013	2	0.69	-0.14	no	-1.56	9.7	13.4	18.2	16.2	-1	4.7	61.8	117.9	4.3	63.2	253
1996	1917_2013	1.5	0.41	-0.29	no	0.47	8.4	13.7	14.7	14.3	-7	3.6	65.5	38.4	7.8	39.1	253
1997	1917_2013	1.6	0.47	0.06	yes	-1.41	9.6	15.9	13.8	17.4	-3.4	5.3	56.5	33.3	35.7	26.5	253
1998	1917_2013	1.8	0.59	0.12	yes	-0.89	11	12.8	14.6	14.8	-0.4	5.1	32	70.1	12.8	66.2	253
1999	1917_2013	1.6	0.47	-0.12	no	0.19	9.1	13.2	12.8	16.3	-1.9	5	57.6	88.4	19.5	97.4	253
2000	1917_2013	1.5	0.41	-0.06	no	-0.6	11.6	13.2	13.5	14.2	-1.5	6.2	93.7	24.1	27.2	55.1	253
2001	1917_2013	1.9	0.64	0.24	no	-0.85	11.2	13	17	17.2	-3	4	51.5	41.2	8.8	79.3	253
2002	1917_2013	2.2	0.79	0.15	yes	0.05	12.2	16	14	15	-2.4	6.7	92.9	70.4	35.4	74.3	253
2003	1917_2013	2.5	0.92	0.13	no	0.13	9.8	14.9	15.6	17.1	-5.2	5.2	94.4	71.5	44.9	38.4	253
2004	1917_2013	2.5	0.92	0.00	yes	-0.45	12.1	13.4	12.8	14.3	-3.5	6.6	33.8	83	54.6	53.4	253
2005	1917_2013	2.7	0.99	0.08	no	-0.4	9.1	13.7	16.6	18.6	0.1	4.6	66.8	53.7	0.6	39.8	253
2006	1917_2013	2.2	0.79	-0.20	no	0.07	11.2	15.4	13.7	17.4	-3.4	3.4	84.3	41.1	45.6	39.5	253
2007	1917_2013	2.3	0.83	0.04	yes	-1.26	10.2	16.7	15.5	15.5	-0.8	7	112.7	79.9	74.8	125.3	253
2008	1917_2013	1.9	0.64	-0.19	no	-2	11.7	14.9	12.9	15.6	0.6	6	27.6	67.9	38.7	71.1	253
2009	1917_2013	1.2	0.18	-0.46	no	-0.82	NA	NA	18.3	NA	-3.5	6.2	NA	NA	0	NA	253
2010	1917_2013	1.5	0.41	0.22	yes	-1.75	10.1	13.5	14.4	17	-7.3	4.6	91	53	0	49.6	253
2011	1917_2013	1.3	0.26	-0.14	yes	-1.3	10.7	14.7	14.1	16.5	-7.4	6.1	79.4	126.3	39.6	31.7	253
2012	1917_2013	0.7	-0.36	-0.62	no	-1.57	11.2	12.7	14.9	15.5	-1.8	6.8	73.4	48	17.7	92.8	253
2013	1917_2013	1	0.00	0.36	no	1.72	12.3	14.1	14.7	15.6	-5.1	4	128.7	58.4	56.1	66.5	253
